m--d--itv--p--sp--wd--ws--tp--rh--pr
(10, 3, 3) [1007.4, 1012.3, 13.0, 2.6, 22.4, 85.0, 0.0]
(9, 6, 27) [1004.3, 1009.2, 340.0, 2.1, 24.2, 77.0, 0.0]
(7, 4, 69) [1002.8, 1007.6, 261.0, 0.3, 26.5, 87.0, 0.0]
(9, 24, 62) [1007.1, 1012.0, 325.0, 1.4, 21.9, 91.0, 0.0]
(7, 24, 35) [1001.0, 1005.8, 177.0, 0.9, 39.4, 38.0, 0.0]
(8, 27, 38) [1004.6, 1009.5, 354.0, 2.1, 26.9, 53.0, 0.0]
(9, 27, 24) [1004.3, 1009.2, 96.0, 3.6, 31.1, 63.0, 0.0]
(7, 9, 14) [999.4, 1004.2, 78.0, 3.7, 29.4, 78.0, 0.0]
(7, 23, 11) [1002.5, 1007.3, 169.0, 2.6, 36.2, 52.0, 0.0]
(9, 17, 17) [1006.8, 1011.7, 4.0, 4.0, 25.3, 78.0, 0.0]
(7, 29, 24) [1001.0, 1005.7, 27.0, 2.4, 38.3, 43.0, 0.0]
(8, 6, 43) [999.2, 1004.0, 82.0, 1.6, 29.7, 81.0, 0.0]
(8, 28, 40) [1004.1, 1009.0, 321.0, 2.2, 26.3, 39.0, 0.0]
(8, 18, 9) [997.4, 1002.2, 130.0, 2.3, 34.5, 56.0, 0.0]
(10, 7, 30) [1008.7, 1013.7, 310.0, 1.5, 20.4, 97.0, 0.0]
(10, 17, 53) [1014.7, 1019.8, 222.0, 0.9, 18.9, 92.0, 0.0]
(9, 2, 22) [997.7, 1002.5, 124.0, 2.1, 34.2, 38.0, 0.0]
(7, 8, 64) [999.7, 1004.5, 73.0, 1.8, 26.9, 89.0, 0.0]
(9, 20, 45) [1014.0, 1019.0, 326.0, 2.2, 20.5, 65.0, 0.0]
(7, 22, 51) [1001.7, 1006.5, 190.0, 1.6, 31.3, 67.0, 0.0]
(9, 16, 69) [1004.4, 1009.3, 344.0, 2.5, 22.3, 87.0, 0.0]
(7, 28, 30) [999.7, 1004.5, 128.0, 2.0, 38.0, 44.0, 0.0]
(8, 23, 37) [1000.4, 1005.2, 93.0, 3.4, 31.8, 66.0, 0.0]
(9, 15, 67) [1000.6, 1005.5, 110.0, 2.7, 23.5, 97.0, 1.5]
(9, 1, 44) [997.3, 1002.2, 213.0, 4.3, 25.8, 58.0, 0.0]
(7, 13, 27) [996.0, 1000.8, 246.0, 4.3, 32.1, 66.0, 0.0]
(9, 27, 37) [1006.1, 1011.0, 40.0, 3.4, 27.4, 85.0, 0.0]
(7, 27, 60) [1001.1, 1005.8, 281.0, 0.9, 30.1, 69.0, 0.0]
(8, 5, 19) [1001.9, 1006.7, 88.0, 1.6, 33.7, 57.0, 0.0]
(8, 2, 36) [1000.1, 1004.9, 88.0, 2.3, 30.9, 70.0, 0.0]
(8, 24, 29) [998.3, 1003.1, 114.0, 2.7, 34.2, 48.0, 0.0]
(7, 2, 20) [1001.3, 1006.2, 37.0, 2.2, 29.3, 80.0, 1.0]
(9, 4, 14) [1005.2, 1010.1, 88.0, 2.8, 30.7, 53.0, 0.0]
(9, 30, 49) [1008.9, 1013.9, 334.0, 1.4, 21.7, 89.0, 0.0]
(9, 16, 32) [999.7, 1004.6, 224.0, 2.8, 25.1, 92.0, 0.1]
(7, 26, 54) [1000.0, 1004.7, 201.0, 1.3, 30.2, 75.0, 0.0]
(8, 29, 57) [1004.1, 1009.0, 292.0, 1.7, 22.5, 58.0, 0.0]
(9, 25, 44) [1008.0, 1012.9, 83.0, 2.9, 25.2, 76.0, 0.0]
(9, 29, 57) [1006.4, 1011.4, 354.0, 1.8, 19.6, 97.0, 0.2]
(7, 17, 0) [1003.6, 1008.5, 157.0, 1.8, 27.3, 86.0, 0.0]
(9, 23, 26) [1008.4, 1013.3, 90.0, 2.5, 29.5, 53.0, 0.0]
(7, 31, 49) [1003.2, 1008.0, 126.0, 1.9, 30.4, 65.0, 0.0]
(8, 30, 33) [1000.0, 1004.9, 335.0, 5.3, 30.6, 32.0, 0.0]
(8, 20, 18) [996.9, 1001.6, 356.0, 2.6, 39.0, 43.0, 0.0]
(10, 5, 5) [1010.0, 1015.0, 32.0, 0.9, 22.7, 80.0, 0.0]
(7, 6, 27) [1004.8, 1009.6, 94.0, 2.0, 34.2, 54.0, 0.0]
(9, 26, 60) [1005.7, 1010.6, 46.0, 1.3, 24.7, 92.0, 0.0]
(7, 30, 37) [1001.9, 1006.7, 61.0, 2.9, 33.1, 68.0, 0.0]
(8, 25, 36) [999.2, 1004.0, 107.0, 2.1, 31.9, 51.0, 0.0]
(8, 3, 52) [1004.2, 1009.1, 266.0, 1.8, 26.7, 86.0, 0.0]
(7, 15, 12) [996.0, 1000.8, 203.0, 4.5, 33.7, 61.0, 0.0]
(7, 26, 43) [999.6, 1004.4, 197.0, 1.1, 32.3, 57.0, 0.0]
